Name:	Link:	Price:			
Cables, 20cm different types	https://www.aliexpress.com/item/1005003219096948.html?spm=a2g0o.cart.0.0.4cb038dadHtkWX&mp=1&pdp_npi=5%40dis%21EUR%21EUR%207.60%21EUR%207.29%21%21EUR%207.29%21%21%21%4021038e1e17596925275901899e11a9%2112000024783046564%21ct%21LV%216042990410%21%211%210	8,19 €		Total price:	49,29 € 57,03 USD
Momentary push buttons	https://www.aliexpress.com/item/1005008562842818.html?spm=a2g0o.cart.0.0.4cb038dadHtkWX&mp=1&pdp_npi=5%40dis%21EUR%21EUR%207.22%21EUR%203.47%21%21EUR%203.47%21%21%21%40210388c917596925725722856e0e48%2112000045732227955%21ct%21LV%216042990410%21%211%210	3,47 €			
Buzzer	https://www.aliexpress.com/item/1005006260328559.html?spm=a2g0o.cart.0.0.4cb038dadHtkWX&mp=1&pdp_npi=5%40dis%21EUR%21EUR%201.66%21EUR%201.59%21%21EUR%201.59%21%21%21%40211b613917596927146086381e7196%2112000036509108004%21ct%21LV%216042990410%21%211%210	1,59 €			
Nextion display 2.8 inch	https://www.aliexpress.com/item/1005009501444706.html?spm=a2g0o.cart.0.0.4cb038dadHtkWX&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2043.98%21EUR%2028.59%21%21EUR%2028.59%21%21%21%40211b613917596927146086381e7196%2112000049296627326%21ct%21LV%216042990410%21%211%210	28,59 €			
Arduino Micro	https://www.aliexpress.com/item/1005006336880230.html?spm=a2g0o.cart.0.0.4cb038dadHtkWX&mp=1&pdp_npi=5%40dis%21EUR%21EUR%204.09%21EUR%203.46%21%21EUR%203.46%21%21%21%40211b613917596927146086381e7196%2112000050905824024%21ct%21LV%216042990410%21%211%210	3,46 €			
					
					
					
Shipping(as of now)	N/A	3,99 €			
					
					
